"ID","DOT_WEB_ID","CASE_NUMBER","CRASH_YEAR","COUNTY","MUNICIPALITY","CRASH_DATE","CRASH_DAY_OF_WEEK","CRASH_MONTH","CRASH_TIME","POLICE_DEPT_CODE","POLICE_DEPARTMENT","POLICE_STATION","TOTAL_KILLED","TOTAL_INCAPACITATED","TOTAL_INJURED","PEDESTRIANS_KILLED","PEDESTRIANS_INJURED","SEVERITY","INTERSECTION","ALCOHOL_INVOLVED","HAZMAT_INVOLVED","CRASH_TYPE","TOTAL_VEHICLES_INVOLVED","CRASH_LOCATION","LOCATION_DIRECTION","ROUTE","ROUTE_SUFFIX","SRI","MILEPOST","ROAD_SYSTEM","ROAD_CHARACTER","ROAD_SURFACE_TYPE","SURFACE_CONDITION","LIGHT_CONDITION","ENVIRONMENTAL_CONDITION","ROAD_DIVIDED_BY","TEMP_TRAFFIC_CONTROL_ZONE","DISTANCE_TO_CROSS_STREET","UNIT_OF_MEASUREMENT","DIRECTION_FROM_CROSS_STREET","CROSS_STREET_NAME","IS_RAMP","RAMP_TO_FROM_ROUTE_NAME","RAMP_TO_FROM_ROUTE_DIRECTION","POSTED_SPEED","POSTED_SPEED_CROSS_STREET","LATITUDE","LONGITUDE","CELL_PHONE_IN_USE","OTHER_PROPERTY_DAMAGE","REPORTING_BADGE_NO","X","Y","CRASH_NARRATIVE","MPO","TOTAL_PEDESTRIANS_INVOLVED","EPDO","DLN","LatitudeGeocoded","LongitudeGeocoded"
3440236,"20101102I-2010-005994","I-2010-005994",2010,"MERCER","Ewing Township","2010-02-27","Saturday","February","01:20:00",1,"EWING TWP PD","1A",0,0,1,0,1,"Injury","Not At Intersection","Yes","No","Pedestrian",1,"NJ 31","NULL",31,"","00000031",1.93,"State Highway","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",600,"Foot","North","CR 622 / OLDEN AVE","NULL","","NULL",35,40,40.25139,-74.77639,"No","","129",414982.029295,516609.520272,NA,"DVRPC",1,"Pain",10044495,40.2498235,-74.7757325
3440434,"20101102I-2010-013070","I-2010-013070",2010,"MERCER","Ewing Township","2010-05-05","Wednesday","May","14:21:00",1,"EWING TWP PD","SQUAD4 TRAFFIC",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 634","NULL",634,"","11000634",2.37,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",30,"Foot","East","WALTER ST","NULL","","NULL",40,25,0,0,"No","","163",408499.579977,520552.176894,NA,"DVRPC",1,"Pain",10101145,40.2623313,-74.7999364
3440452,"20101102I-2010-013815","I-2010-013815",2010,"MERCER","Ewing Township","2010-05-12","Wednesday","May","09:36:00",1,"EWING TWP PD","SQUAD 3-A",0,0,1,0,1,"Injury","At Intersection","Yes","No","Pedestrian",1,"MERCER COUNTY 634","NULL",634,"","11000634",2.97,"County","Straight and Level","Blacktop","Wet","Daylight","Rain","None","None",NA,"At","NULL","FARRELL AVENUE","NULL","","NULL",35,25,0,0,"No","","174",410446.306381,518105.463953,NA,"DVRPC",1,"Pain",10101158,40.2555249,-74.7927162
3440558,"20101102I-2010-018091","I-2010-018091",2010,"MERCER","Ewing Township","2010-06-21","Monday","June","15:10:00",1,"EWING TWP PD","SQUAD 1-A",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 634","NULL",634,"","11000634",3.69,"County","Straight and Grade","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","LATONA AVENUE","NULL","","NULL",40,25,0,0,"No","","180",412614.75,515022.93,NA,"DVRPC",1,"PDO",10129227,40.247037,-74.7848755
3440700,"20101102I-2010-024331","I-2010-024331",2010,"MERCER","Ewing Township","2010-08-25","Wednesday","August","09:33:00",1,"EWING TWP PD","SQUAD 1A",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 636","NULL",636,"","11000636",NA,"County","Straight at Hillcrest","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","ALBEMARLE AVENUE","NULL","","NULL",35,25,0,0,"No","","171",NA,NA,NA,"DVRPC",1,"Pain",10193497,40.2465735,-74.7740093
3440757,"20101102I-2010-026211","I-2010-026211",2010,"MERCER","Ewing Township","2010-09-13","Monday","September","12:36:00",1,"EWING TWP PD","1B",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"1885 OLDEN AVENUE (MCDONALD'S","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","","152",NA,NA,NA,"DVRPC",1,"Pain",10202573,40.2501488,-74.7795726
3440776,"20101102I-2010-026593","I-2010-026593",2010,"MERCER","Ewing Township","2010-09-17","Friday","September","17:56:00",1,"EWING TWP PD","PLATOON 2-SQUA",0,0,2,0,1,"Injury","Not At Intersection","No","No","Struck Parked Vehicle",2,"BAYBERRY ROAD","NULL",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",200,"Foot","East","HICKORY HILL DR","NULL","","NULL",25,25,0,0,"No","","151",NA,NA,NA,"DVRPC",3,"Pain",10209760,40.276223,-74.787367
3440820,"20101102I-2010-027756","I-2010-027756",2010,"MERCER","Ewing Township","2010-10-01","Friday","October","00:18:00",1,"EWING TWP PD","1B",0,0,1,0,1,"Injury","Not At Intersection","Yes","No","Pedestrian",1,"ROUTE 579","NULL",579,"","00000579",0.89,"County","Straight at Hillcrest","Blacktop","Wet","Dark (Street Lights On/ continuous)","Rain","None","None",30,"Foot","West","PALMER LA","NULL","","NULL",35,25,0,0,"No","","152",405128.31,515476.04,NA,"DVRPC",1,"Moderate Injury",10217905,40.2481952,-74.8116966
3440972,"20101102I-2010-032423","I-2010-032423",2010,"MERCER","Ewing Township","2010-11-20","Saturday","November","18:29:00",1,"EWING TWP PD","SQUAD4 TRAFFIC",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"HIGHGATE DRIVE","NULL",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",10,"Foot","North","CR 622","NULL","","NULL",25,40,0,0,"No","","163",NA,NA,NA,"DVRPC",1,"Pain",10265289,40.2518641,-74.7873698
3440974,"20101102I-2010-032508","I-2010-032508",2010,"MERCER","Ewing Township","2010-11-21","Sunday","November","18:05:00",1,"EWING TWP PD","SQUAD4A",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"1674 PENNINGTON ROAD (GRACE","NULL",NA,"","",NA,"Private Property","Straight and Grade","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","","158",NA,NA,NA,"DVRPC",2,"Pain",10272490,40.2409401,-74.7701034
3441083,"20101102I-2010-035379","I-2010-035379",2010,"MERCER","Ewing Township","2010-12-28","Tuesday","December","18:24:00",1,"EWING TWP PD","PLATOON 1",0,0,1,0,1,"Injury","Not At Intersection","Yes","No","Pedestrian",1,"NJ 31","NULL",31,"","00000031",1.81,"State Highway","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Clear","None","None",50,"Foot","South","CR 622 / OLDEN AVE","NULL","","NULL",35,40,0,0,"No","","115",415172.657013,516007.196759,NA,"DVRPC",1,"Pain",10291571,40.2498235,-74.7757325
3441161,"2010110310-1025","10-1025",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-01-09","Saturday","January","17:32:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"NJ 33","NULL",33,"","00000033",2.05,"State Highway","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",200,"Foot","East","DICKINSON AVE","NULL","","NULL",35,25,40.23022,-74.72412,"No","","381",429552.352828,508856.053599,NA,"DVRPC",1,"Moderate Injury",10018423,40.2298815,-74.7248356
3441166,"2010110310-10308","10-10308",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-03-12","Friday","March","18:37:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"CONNECTICUT","NULL",NA,"","11031372",0.141,"Municipal","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Rain","None","None",5,"Foot","North","GREENWOOD AVE","NULL","","NULL",25,25,0,0,"No","","361",427656.678219,507754.087646,NA,"DVRPC",1,"Moderate Injury",10051361,40.2270858,-74.7307755
3441348,"2010110310-13851","10-13851",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-04-04","Sunday","April","11:44:00",1,"HAMILTON TWP PD (MERCER)","",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Pedestrian",1,"US 206","NULL",206,"","00000206",39.78,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Grass Median","None",50,"Foot","South","IRVINGTON PL / OLDFIELD RD","NULL","","NULL",NA,25,40.19437,-74.71959,"No","","370",430784.833339,495792.009599,NA,"DVRPC",1,"PDO",10064106,40.1937694,-74.7207466
3441352,"2010110310-13882","10-13882",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-04-04","Sunday","April","17:55:00",1,"HAMILTON TWP PD (MERCER)","",0,1,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 614","NULL",614,"","11000614",0.33,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",40,"Foot","East","ROBERTS AVE.","NULL","","NULL",25,25,0,0,"No","","332",427387.919479,510028.761566,NA,"DVRPC",1,"Incapacitating Injury",10069137,40.2307887,-74.7236935
3441490,"2010110310-16647","10-16647",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-04-22","Thursday","April","14:35:00",1,"HAMILTON TWP PD (MERCER)","",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 618","East",618,"","11000618",NA,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","SUNSET BLVD","NULL","","NULL",40,25,0,0,"No","","407",NA,NA,NA,"DVRPC",1,"PDO",10079296,40.251378,-74.6592087
3441596,"2010110310-18933","10-18933",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-05-08","Saturday","May","15:39:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"GENESEE ST","NULL",NA,"","11031471",0.583,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",15,"Foot","North","SAMUEL ST","NULL","","NULL",25,25,0,0,"No","","322",427135.995809,498080.063055,NA,"DVRPC",1,"Moderate Injury",10102480,40.200729,-74.732918
3441787,"2010110310-23061","10-23061",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-06-03","Thursday","June","15:09:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"901 WHITEHORSE HAMILTON SQ RD","NULL",NA,"","",NA,"Mun Auth","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","NONE","361",NA,NA,NA,"DVRPC",1,"Moderate Injury",10114947,40.201512,-74.691082
3441793,"2010110310-23112","10-23112",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-06-03","Thursday","June","21:50:00",1,"HAMILTON TWP PD (MERCER)","",0,1,1,0,0,"Injury","Not At Intersection","No","No","Pedestrian",1,"1072 EDINBURG RD","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Dark (No Street Lights)","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","NONE","361",NA,NA,NA,"DVRPC",1,"Incapacitating Injury",10114948,40.2495838,-74.661298
3441954,"2010110310-26524","10-26524",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-06-25","Friday","June","14:33:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"NJ 33","West",33,"","00000033",1.72,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",100,"Foot","East","LYNWOOD AVE","NULL","","NULL",30,25,0,0,"No","","330",428071.49,507951.06,NA,"DVRPC",1,"Pain",10140918,40.2275172,-74.7298628
3442069,"2010110310-2936","10-2936",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-01-20","Wednesday","January","17:37:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"3100 QUAKERBRIDGE RD","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Dark (Street LIghts On/ spot)","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","NONE","418",NA,NA,NA,"DVRPC",1,"Pain",10006422,40.248227,-74.6890136
3442156,"2010110310-31309","10-31309",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-07-27","Tuesday","July","07:51:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"3750 S BROAD ST","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","NONE","418",NA,NA,NA,"DVRPC",1,"Pain",10163248,40.1876729,-74.6895315
3442281,"2010110310-34218","10-34218",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-08-15","Sunday","August","19:57:00",1,"HAMILTON TWP PD (MERCER)","HAMILTON",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"ROUTE 524","NULL",524,"","00000524",2.36,"County","Straight and Level","Blacktop","Wet","Dusk","Rain","None","None",100,"Foot","East","CLAREDON AVE","NULL","","NULL",40,NA,40.1776,-74.66429,"No","","423",446220.956839,489651.246361,NA,"DVRPC",1,"Moderate Injury",10172904,40.1777439,-74.6648212
3442335,"2010110310-35415","10-35415",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-08-23","Monday","August","20:14:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"ROUTE 533","North",533,"","00000533",3.3,"County","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Rain","None","None",3,"Foot","North","NJ 33","NULL","","NULL",35,40,40.23356,-74.68739,"No","","430",439809.12,510049.15,NA,"DVRPC",1,"Pain",10188121,40.2335596,-74.6873873
3442342,"2010110310-3565","10-3565",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-01-24","Sunday","January","20:27:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"YARDVILLE-HAMILTON SQ RD","South",NA,"","11031990",0.12,"Municipal","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Rain","None","None",NA,"At","NULL","LOCUST AVENUE","NULL","","NULL",35,25,40.18151,-74.67207,"No","","330",444047.928886,491080.238875,NA,"DVRPC",1,"Moderate Injury",10037775,40.1815538,-74.6720511
3442368,"2010110310-36140","10-36140",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-08-28","Saturday","August","14:24:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"US 206","NULL",206,"","00000206",NA,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","Curbed Median","None",500,"Foot","South","IRVINGTON PL / OLDFIELD RD","NULL","","NULL",35,25,0,0,"No","","322",NA,NA,NA,"DVRPC",1,"Moderate Injury",10197607,40.1937694,-74.7207466
3442480,"2010110310-38837","10-38837",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-09-14","Tuesday","September","14:50:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"3855 CROSSWICKS HAM SQ RD","NULL",NA,"","",NA,"Private Property","Straight and Level","Gravel","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","EDGEBROOK RD.","NULL","","NULL",NA,NA,0,0,"No","","466",NA,NA,NA,"DVRPC",1,"Pain",10210094,40.1890573,-74.6445082
3442582,"2010110310-40980","10-40980",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-09-28","Tuesday","September","22:44:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"3620 QUAKERBRIDGE RD","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Clear","None","NULL",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","NONE","442",NA,NA,NA,"DVRPC",1,"Moderate Injury",10216208,40.2591868,-74.6778425
3442605,"2010110310-41403","10-41403",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-10-01","Friday","October","18:58:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"957 ROUTE 33","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Dark (Street LIghts On/ spot)","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","NONE","381",NA,NA,NA,"DVRPC",2,"Pain",10225469,40.2286477,-74.6674678
3442620,"2010110310-41756","10-41756",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-10-04","Monday","October","08:32:00",1,"HAMILTON TWP PD (MERCER)","",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"US 206","South",206,"","00000206",NA,"State Highway","Straight and Level","Blacktop","Wet","Daylight","Overcast","Curbed Median","None",NA,"At","NULL","IRVINGTON PL / OLDFIELD RD","NULL","","NULL",35,25,0,0,"No","","450",NA,NA,NA,"DVRPC",1,"PDO",10224739,40.1937694,-74.7207466
3442710,"2010110310-43285","10-43285",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-10-15","Friday","October","10:00:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"KLOCKNER RD","North",NA,"","11031996",1.83,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",10,"Foot","South","HAMILTON AVE","NULL","","NULL",35,30,0,0,"No","","322",451583.849689,490605.563968,NA,"DVRPC",1,"Pain",10241771,40.2292303,-74.7073284
3442720,"2010110310-43444","10-43444",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-10-16","Saturday","October","12:40:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"DONALD DRIVE","NULL",NA,"","11031277",0.064,"Municipal","Curve and Level","Blacktop","Dry","Daylight","Clear","None","None",20,"Foot","East","CORNELL AVE.","NULL","","NULL",25,25,0,0,"No","NONE","388",431925.158698,509364.017406,NA,"DVRPC",1,"Moderate Injury",10232523,40.23174,-74.7156375
3442757,"2010110310-44378","10-44378",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-10-23","Saturday","October","11:46:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"SHARPS LANE","NULL",NA,"","11031539",0.183,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",250,"Foot","East","WHITEHORSE HAM SQ RD","NULL","","NULL",25,35,0,0,"No","","322",436870.400207,497040.612405,NA,"DVRPC",2,"Pain",10241766,40.1980626,-74.6986669
3442839,"2010110310-45628","10-45628",2010,"MERCER","Hamilton Twp (Mercer Co)","2010-10-31","Sunday","October","19:40:00",1,"HAMILTON TWP PD (MERCER)","",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"CAMP AVENUE","West",NA,"","11031333",0.188,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","Grass Median","None",200,"Foot","East","MASON AVE.","NULL","","NULL",25,25,0,0,"No","NONE","451",429972.581956,504913.935351,NA,"DVRPC",2,"Moderate Injury",10249642,40.2194747,-74.7221439
